x,y
10.21717584587894,115.54852526434706
11.533228676085818,124.074554335691
12.678268991633045,130.22559735309346
13.823309307180274,135.8640534523791
14.968349622727501,140.92157771113222
16.11338993827473,145.8082396638464
17.258430253821956,150.8999363838073
18.403470569369183,155.30818387961244
19.548510884916414,159.9556386038721
20.69355120046364,164.87647301779407
21.83859151601087,170.17320450500176
22.983631831558096,176.15338521636522
24.128672147105323,181.9968760828976
25.27371246265255,187.32778003131307
26.41875277819978,193.23961582026095
27.56379309374701,199.04893422558553
28.708833409294233,204.14063094554643
29.853873724841467,208.99312043705282
30.998914040388694,213.70892008372806
32.14395435593592,217.809615428663
33.28899467148315,221.02182678219543
34.43403498703037,223.9948309072733
35.57907530257761,227.03617995476674
36.72411561812483,230.18004638588357
37.86915593367206,233.90484465753283
39.01419624921928,237.56129800676652
40.159236564766516,240.8418542827145
41.304276880313736,244.4641351707404
42.44931719586097,248.7698652829221
43.594357511408205,252.59718093819475
44.739397826955425,255.87773721414274
45.88443814250266,258.47484426593485
47.02947845804988,259.6708804082076
48.174518773597114,259.39750071854525
49.319559089144335,258.98743118405173
50.46459940469157,257.6547051969479
51.60963972023879,255.70687490810377
52.75468003578602,252.66552586061033
53.899720351333244,250.13676373123374
55.04476066688048,247.57382914064942
56.1898009824277,245.72851623542869
57.33484129797493,242.6188222655196
58.47988161352217,236.50195170932497
59.468780067858404,228.78751859166604
60.249489373913335,220.45065850200808
60.96513957113035,211.77817602548782
61.39452968946057,203.95951690114515
61.86873830499022,195.96961577675012
62.383428143796806,187.79594274985982
62.90390101450009,179.11272035695998
63.4764211722737,170.77407028123872
64.10098861711765,162.1910871078818
64.72555606196158,153.92135149559624
65.35012350680553,145.24439405391786
65.97469095164948,136.3794880755966
66.85949483184505,128.28203862190037
67.79634599911097,120.32241809507553
68.78524445344722,112.14456843403764
69.6700483336428,103.66078032168662
70.45075763969773,95.43803184356176
71.23146694575266,87.40323190207982
72.16831811301857,79.31204739960498
73.26131114149547,72.132413299848
74.4063514570427,66.86985427384809
75.55139177258992,63.008366157367675
76.69643208813716,59.96701710987429
77.84147240368438,56.891495601173006
78.98651271923161,53.64511178643278
80.13155303477883,50.74045258377049
81.27659335032607,47.69910353627711
82.42163366587329,44.93113417844603
83.56667398142052,42.709924199939564
84.71171429696774,41.03547360075777
85.85675461251498,40.557059143848676
87.0017949280622,41.308853290420075
88.14683524360943,42.709924199939564
89.29187555915667,43.97430526462779
90.43691587470389,44.31602987670573
91.58195619025112,43.83761541979669
92.72699650579834,44.00847772583563
93.87203682134557,50.2962105880693
95.0170771368928,56.27639129943276
96.16211745244003,60.137879415913176
97.30715776798725,66.63064704539352
98.49557082275975,74.05888580043722
99.5972383990817,78.6251809293284
100.74227871462894,81.76904736044526
101.88731903017617,84.81039640793864
103.03235934572339,87.54419330456193
104.17739966127063,91.37150895983461
105.32243997681785,97.24917228757477
106.36338571822442,104.62662696832348
107.24818959842001,112.49436154390071
108.23708805275625,119.97385899075607
109.38212836830347,124.38210648656116
110.5271686838507,128.27776706424942
111.67220899939792,133.8820507023272
112.81724931494516,140.54568063784654
113.88942342859393,148.06362210356065
114.79504622361766,156.89720332577474
115.36756638139126,166.52016840188884
115.93062339606118,176.01669537153407
116.42933103762597,183.73625435837414
117.18922142885276,192.52199413489734
118.33426174439998,197.34031116519594
119.47930205994722,202.2953180403257
120.62434237549444,206.80608291975415
121.76938269104167,211.8977796397151
122.91442300658889,216.95530389846823
124.0681378699812,225.3417954198804
124.64933257559986,232.97459432465405
124.99631448940204,241.61500621754075
125.06918069130049,254.2921350141012
125.17327526544116,268.57622379895804
125.27736983958181,282.8603125838149
125.38146441372248,297.1444013686717
125.48555898786313,311.3157210315428
125.6382310299361,325.2990921577711
125.67871225321304,338.72697094236605
125.8006816532162,352.9275270442705
125.90477622735688,368.6468591998546
126.24544937908993,375.1054543681272
